BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
246,HASHIMOTO,Daiki,JPN,5.2,8.366,,,13.566
160,ZHANG,Boheng,CHN,5.5,9,,0.1,14.6
319,SEIFERT,Noe,SUI,4.2,8.866,,,13.066
159,SHI,Cong,CHN,5.4,8.066,,,13.466
250,OKA,Shinnosuke,JPN,5.3,8.666,,0.1,14.066
164,BARAJAS,Angel,COL,5,7.933,,,12.933
103,MARINOV,Daniel,AIN,3.1,9,,0.1,12.2
218,MESZAROS,Krisztofer,HUN,4.3,8.566,,,12.866
139,SOUZA,Caio,BRA,5.3,8.466,,0.1,13.866
317,LANGENEGGER,Florian,SUI,3.7,8.7,,,12.4
123,MOORE,Jesse,AUS,3.7,7.366,,,11.066
201,MANSARD,Anthony,FRA,4.2,8.233,,0.1,12.533
261,RYU,Sunghyun,KOR,4.4,8.533,,0.1,13.033
192,KIRMES,Robert,FIN,4.9,7.966,,,12.866
189,PLATA,Joel,ESP,4.6,7.6,,,12.2
146,DOLCI,Felix,CAN,5.2,7.7,,,12.9
138,SOARES,Diogo,BRA,4.2,8.366,,,12.566
286,SPONEVIK,Sebastian,NOR,5,7.633,,,12.633
209,EDER,Timo,GER,4.5,6.9,,,11.4
191,KARSIKAS,Akseli,FIN,4.8,8.133,,0.1,13.033
186,DIALLO,Thierno,ESP,4.4,7.633,,,12.033
339,HRYKO,Vladyslav,UKR,4.9,7.4,,,12.3
183,MOHAMED,Omar,EGY,5.2,7.833,,,13.033
232,OLAFSSON,Dagur Kari,ISL,3.5,8,,,11.5